date,country,confirmed,deaths,death_rate,new_cases,new_deaths,acceleration_cases,acceleration_deaths,days_since_100,days_since_10,double_5_cases,double_1_deaths,double_20_cases,double_3_cases,double_3_deaths,double_5_deaths,double_1_cases,double_10_deaths,double_10_cases,double_20_deaths
2020-03-23,US: Ohio,444.0,6.0,0.013513513513513514,93.0,3.0,-11.0,3.0,5,0,208.9321351910697,0.0,137.84380259964422,302.3810519747696,0.0,0.0,1920.0,0.0,158.3409492927473,0.0
2020-03-24,US: Ohio,564.0,8.0,0.014184397163120567,120.0,2.0,27.0,-1.0,6,0,239.99999999999986,0.0,142.70485380032656,380.97625247236795,0.0,0.0,3840.0,0.0,169.70562748477138,0.0
2020-03-25,US: Ohio,706.0,11.0,0.015580736543909348,142.0,3.0,22.0,1.0,7,1,275.6876051992882,11.0,147.73732960139,480.0000000000001,11.0,11.0,7680.0,11.0,181.88598798124775,11.0
2020-03-26,US: Ohio,867.0,15.0,0.01730103806228374,161.0,4.0,19.0,1.0,8,2,316.68189858549437,22.0,152.9472752783115,604.7621039495393,13.859131548843605,12.635681904967385,15360.0,11.789508087899225,194.9405751254965,11.387914162255154
2020-03-27,US: Ohio,1144.0,22.0,0.019230769230769232,277.0,7.0,116.0,3.0,9,3,363.7719759624952,44.0,158.34094929274738,761.952504944736,17.461411571650196,14.514587018501835,30720.0,12.635681904967385,208.93213519106976,11.789508087899227
2020-03-28,US: Ohio,1406.0,25.0,0.017780938833570414,262.0,3.0,-15.0,-4.0,10,4,417.8642703821392,88.0,163.92483081052754,960.0000000000003,22.000000000000004,16.672882231614377,61440.0,13.542588546794079,223.92791796883373,12.205264192746299
2020-03-29,US: Ohio,1665.0,30.0,0.018018018018018018,259.0,5.0,-3.0,2.0,11,5,479.9999999999995,176.0,169.7056274847715,1209.5242078990786,27.718263097687213,19.152112392514727,122880.0,14.514587018501835,239.99999999999994,12.63568190496739
2020-03-30,US: Ohio,1933.0,40.0,0.020693222969477496,268.0,10.0,9.0,5.0,12,6,551.3752103985762,352.0,175.69028351347515,1523.905009889472,34.92282314330039,21.999999999999993,245760.0,15.556349186104043,257.2256310087103,13.081278265029937
2020-03-31,US: Ohio,2199.0,55.0,0.02501136880400182,266.0,15.0,-2.0,5.0,13,7,633.3637971709885,704.0,181.8859879812479,1920.0000000000007,44.00000000000001,25.27136380993476,491520.0,16.672882231614377,275.6876051992883,13.542588546794086
2020-04-01,US: Ohio,2547.0,65.0,0.025520219866509618,348.0,10.0,82.0,-5.0,14,8,727.5439519249901,1408.0,188.30018349522032,2419.0484157981573,55.43652619537443,29.029174037003656,983040.0,17.86955271983718,295.47465920277983,14.020166900511892
2020-04-02,US: Ohio,2902.0,81.0,0.027911784975878703,355.0,16.0,7.0,6.0,15,9,835.7285407642779,2816.0,194.94057512549668,3047.810019778944,69.84564628660078,33.34576446322873,1.96608e6,19.15211239251473,316.68189858549454,14.514587018501848
2020-04-03,US: Ohio,3312.0,91.0,0.02747584541062802,410.0,10.0,55.0,-6.0,16,10,959.9999999999984,5632.0,201.81513966089167,3840.0000000000014,88.00000000000001,38.304224785029426,3.93216e6,20.52672581380976,339.4112549695427,15.026442824298362
2020-04-04,US: Ohio,3739.0,102.0,0.027280021396095214,427.0,11.0,17.0,1.0,17,11,1102.7504207971517,11264.0,208.93213519107,4838.096831596315,110.87305239074885,43.99999999999995,7.86432e6,21.999999999999996,363.77197596249545,15.55634918610406
2020-04-05,US: Ohio,4043.0,119.0,0.029433588919119465,304.0,17.0,-123.0,6.0,18,12,1266.727594341976,22528.0,216.30011102659947,6095.620039557888,139.69129257320157,50.542727619869474,1.572864e7,23.579016175798444,389.88115025099296,16.104942655401896
2020-04-06,US: Ohio,4450.0,142.0,0.03191011235955056,407.0,23.0,103.0,6.0,19,13,1455.0879038499793,45056.0,223.927917968834,7680.000000000003,176.00000000000003,58.05834807400726,3.145728e7,25.271363809934762,417.86427038213947,16.6728822316144
2020-03-10,US: Michigan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,US: Michigan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,US: Michigan,12.0,0.0,0.0,10.0,0.0,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,US: Michigan,25.0,0.0,0.0,13.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
