date,country,metric,point_forecast,lo_80,hi_80,lo_95,hi_95,population
2021-12-19,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-20,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-21,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-22,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-23,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-24,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-25,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-26,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-27,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-28,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-29,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-30,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-31,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2022-01-01,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2022-01-02,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2022-01-03,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2022-01-04,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2022-01-05,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2022-01-06,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
2021-12-18,China: Ningxia,recovered,-0.013837837946582087,-3.8560081507757187,3.8283324748825547,-5.88993025441831,5.862254578525146,6.30135e6
2021-12-19,China: Ningxia,recovered,-0.027323434090128614,-5.466469807661128,5.411822939480872,-8.345779971818724,8.291133103638467,6.30135e6
2021-12-20,China: Ningxia,recovered,-0.040538858027270024,-6.720488346955859,6.6394106309013186,-10.256640003581314,10.175562287526773,6.30135e6
2021-12-21,China: Ningxia,recovered,-0.05348952242351526,-7.7911701003762275,7.6841910555291975,-11.887250772769855,11.780271727922825,6.30135e6
2021-12-22,China: Ningxia,recovered,-0.06618073150632076,-8.745548721504662,8.613187258492019,-13.340128597769153,13.20776713475651,6.30135e6
2021-12-23,China: Ningxia,recovered,-0.07861768323755257,-9.617909942120313,9.460674575645207,-14.667706228782512,14.510470862307406,6.30135e6
2021-12-24,China: Ningxia,recovered,-0.09080547144242529,-10.428546709602099,10.246935766717247,-15.901016354121353,15.719405411236501,6.30135e6
2021-12-25,China: Ningxia,recovered,-0.10274908789578929,-11.190625904276446,10.985127728484867,-17.0601933370374,16.854695161245825,6.30135e6
2021-12-26,China: Ningxia,recovered,-0.11445342436662129,-11.913252076709222,11.68434522797598,-18.15915879648644,17.930251947753195,6.30135e6
2021-12-27,China: Ningxia,recovered,-0.125923274621555,-12.603022734202629,12.35117618495952,-19.20800021150311,18.956153662259997,6.30135e6
2021-12-28,China: Ningxia,recovered,-0.13716333638827313,-13.264893918766449,12.990567245989903,-20.214294707432426,19.93996803465588,6.30135e6
2021-12-29,China: Ningxia,recovered,-0.14817821327956418,-13.902696469788157,13.606340043229029,-21.18389861053055,20.887542183971423,6.30135e6
2021-12-30,China: Ningxia,recovered,-0.1589724166788328,-14.51946108607143,14.201516252713766,-22.12144458645394,21.803499753096276,6.30135e6
2021-12-31,China: Ningxia,recovered,-0.16955036758783523,-15.117632129226996,14.778531394051326,-23.030668623350422,22.691567888174752,6.30135e6
2022-01-01,China: Ningxia,recovered,-0.1799163984373972,-15.699213395700056,15.339380598825262,-23.914632969978133,23.55480017310334,6.30135e6
2022-01-02,China: Ningxia,recovered,-0.19007475486185563,-16.265870546527633,15.885721036803924,-24.775882787561684,24.395733277837977,6.30135e6
2022-01-03,China: Ningxia,recovered,-0.20002959743795082,-16.81900495243341,16.41894575755751,-25.61655908519835,25.21649989032245,6.30135e6
2022-01-04,China: Ningxia,recovered,-0.20978500338888162,-17.359808121582176,16.940238114804416,-26.43848195902328,26.01891195224552,6.30135e6
2022-01-05,China: Ningxia,recovered,-0.2193449682542211,-17.889302595775998,17.45061265926756,-27.24321313666013,26.804523200151692,6.30135e6
2022-01-06,China: Ningxia,recovered,-0.22871340752637717,-18.408373203781302,17.950946388728546,-28.03210377419389,27.574676959141133,6.30135e6
2021-12-18,China: Ningxia,active_cases,122.002091777564,118.10075843328511,125.9034251218429,116.03551731263217,127.96866624249584,6.30135e6
2021-12-19,China: Ningxia,active_cases,122.00397825022148,116.41929045465801,127.58866604578495,113.46293531563357,130.54502118480937,6.30135e6
2021-12-20,China: Ningxia,active_cases,122.00567976260069,115.08831460345115,128.92304492175023,111.42648268278298,132.5848768424184,6.30135e6
2021-12-21,China: Ningxia,active_cases,122.0072144492367,113.93574003628132,130.07868886219208,109.66295958126622,134.35146931720718,6.30135e6
2021-12-22,China: Ningxia,active_cases,122.00859866665381,112.89636671842044,131.12083061488718,108.07264250423196,135.94455482907566,6.30135e6
2021-12-23,China: Ningxia,active_cases,122.00984716769166,111.93745312377342,132.0822412116099,106.60544979895508,137.41424453642824,6.30135e6
2021-12-24,China: Ningxia,active_cases,122.01097325873938,111.03992195546428,132.9820245620145,105.23219821364574,138.78974830383302,6.30135e6
2021-12-25,China: Ningxia,active_cases,122.01198894155368,110.19155142507631,133.83242645803105,103.93418978256585,140.0897881005415,6.30135e6
2021-12-26,China: Ningxia,active_cases,122.0129050411722,109.38396880764165,134.64184127470276,102.69861379745294,141.32719628489147,6.30135e6
2021-12-27,China: Ningxia,active_cases,122.0137313212857,108.61114073279832,135.4163219097731,101.51623784601706,142.51122479655433,6.30135e6
2021-12-28,China: Ningxia,active_cases,122.01447658829831,107.86854264039806,136.16041053619855,100.38013754881932,143.64881562777728,6.30135e6
2021-12-29,China: Ningxia,active_cases,122.01514878518532,107.15266948581358,136.87762808455707,99.28494819792934,144.7453493724413,6.30135e6
2021-12-30,China: Ningxia,active_cases,122.0157550761485,106.46073164974992,137.57077850254706,98.22639964630098,145.805110505996,6.30135e6
2021-12-31,China: Ningxia,active_cases,122.0163019229714,105.79045763368775,138.24214621225502,97.20101451607223,146.83158932987055,6.30135e6
2022-01-01,China: Ningxia,active_cases,122.01679515388838,105.13996140790309,138.89362889987368,96.20590528841132,147.82768501936545,6.30135e6
2022-01-02,China: Ningxia,active_cases,122.01724002570126,104.50765051234833,139.52682953905418,95.23863372306037,148.79584632834212,6.30135e6
2022-01-03,China: Ningxia,active_cases,122.01764127980572,103.89216072988751,140.14312182972392,94.29711092001149,149.73817163959995,6.30135e6
2022-01-04,China: Ningxia,active_cases,122.01800319272465,103.29230859324205,140.74369779220726,93.37952465839776,150.65648172705156,6.30135e6
2022-01-05,China: Ningxia,active_cases,122.01832962168683,102.70705616340948,141.3296030799642,92.48428550560509,151.55237373776856,6.30135e6
2022-01-06,China: Ningxia,active_cases,122.01862404573686,102.13548443872608,141.90176365274763,91.6099861281807,152.427261963293,6.30135e6
2021-12-18,China: Shaanxi,cases,738.8001093892323,736.2215133006983,741.3787054777662,734.85648698645,742.7437317920145,3.7327378e7
2021-12-19,China: Shaanxi,cases,741.5866723383281,737.5564693518924,745.6168753247638,735.4230087635088,747.7503359131473,3.7327378e7
2021-12-20,China: Shaanxi,cases,744.2683699304839,738.8076712071436,749.7290686538242,735.9169519181913,752.6197879427765,3.7327378e7
2021-12-21,China: Shaanxi,cases,746.8491485122516,739.9295520602858,753.7687449642175,736.26653896455,757.4317580599533,3.7327378e7
2021-12-22,China: Shaanxi,cases,749.3328059192588,740.9148562055838,757.7507556329339,736.4586628055082,762.2069490330094,3.7327378e7
2021-12-23,China: Shaanxi,cases,751.7229970650473,741.7662861216938,761.6797080084007,736.4955217311494,766.9504723989451,3.7327378e7
2021-12-24,China: Shaanxi,cases,754.0232393195898,742.4897313096577,765.556747329522,736.3842609728505,771.6622176663292,3.7327378e7
2021-12-25,China: Shaanxi,cases,756.2369176854002,743.0920644800925,769.3817708907078,736.1335995223728,776.3402358484275,3.7327378e7
2021-12-26,China: Shaanxi,cases,758.367289778852,743.5803081170368,773.1542714406671,735.752552864309,780.9820266933949,3.7327378e7
2021-12-27,China: Shaanxi,cases,760.4174906240398,743.9612977225186,776.8736835255611,735.2499154153753,785.5850658327043,3.7327378e7
2021-12-28,China: Shaanxi,cases,762.390537266234,744.2415471273617,780.5395274051062,734.6340520928528,790.1470224396152,3.7327378e7
2021-12-29,China: Shaanxi,cases,764.2893332117194,744.4272020628312,784.1514643606076,733.9128249582345,794.6658414652043,3.7327378e7
2021-12-30,China: Shaanxi,cases,766.116672700553,744.5240337219143,787.7093116791916,733.0935811081962,799.1397642929097,3.7327378e7
2021-12-31,China: Shaanxi,cases,767.8752448185259,744.5374504504787,791.213039186573,732.1831683779371,803.5673212591146,3.7327378e7
